customer_id,first_name,last_name,email,signup_date
1,Ann,Phillips,ajohnson@gmail.com,2023-11-20
2,Edward,Hughes,thomasrodriguez@gmail.com,2022-08-29
3,Thomas,Odom,joshuaromero@green-lester.net,2023-12-15
4,David,Collins,gonzalezmonica@rollins.com,2024-07-24
5,Amber,Rowe,brittney83@hampton-watson.org,2022-10-19
6,Kristy,Johns,,2024-01-17
7,Sarah,Lee,richardrogers@hotmail.com,2025-04-13
8,Sabrina,Mejia,zarmstrong@yahoo.com,2023-05-29
9,Lisa,Skinner,zdavis@gmail.com,2024-03-26
10,Kevin,Scott,david49@greene-stone.com,2022-12-30
11,Mxria,Gutierrez,jacobcastillo@hotmail.com,2023-11-22
12,Rachel,Smith,toddrush@marquez.info,2025-07-11
13,Lori,Schmidt,jpark@mitchell.biz,2024-05-13
14,Christopher,Zamora,kathrynlogan@mcguire.info,2023-02-14
15,Joseph,Hester,emilydunn@parker.net,2022-11-05
16,Candace,Martin,,2023-06-18
17,Amber,Tyler,lisa37@rivera.com,2024-06-13
18,Holly,Jackson,millerchristy@hotmail.com,2024-10-01
19,Diana,Smith,sarahlong@gmail.com,2022-08-14
20,Travis,Hamilton,simondavid@long.com,2024-02-12
21,Sxmuel,House,joannjohnson@keith.com,2025-01-11
22,Paula,Coleman,colleenfigueroa@johnson.com,2023-05-08
23,Elizabeth,Gill,jasonperry@hotmail.com,2022-10-29
24,Kxisten,Stephens,patrick49@yahoo.com,2024-02-15
25,Jeffrey,Cervantes,margaret51@hotmail.com,2025-07-10
26,Daniel,Simmons,laura00@garrett-parks.com,2024-07-10
27,Danielle,Cook,uholmes@gmail.com,2025-02-24
28,Lori,Ball,ostevens@french-jackson.com,2022-11-03
29,Thomas,Adams,bvalencia@perez.net,2024-11-23
30,Timothy,Hampton,clarkrhonda@lawson.com,2023-01-31
31,Scott,Brown,fmontgomery@dennis.com,2024-12-20
32,Kathleen,Thomas,samuel34@wells.org,2023-09-12
33,Karen,Wilson,kristen91@hotmail.com,2023-05-18
34,Eddie,Cooper,qchaney@huang.com,2024-12-25
35,Stephanie,Morrow,,2024-07-12
36,Jessica,Wheeler,zgardner@hotmail.com,2024-01-21
37,Ebony,Flowers,nathansanders@wright.com,2024-12-25
38,Connie,Garcia,carlos32@gmail.com,2024-01-25
39,Mark,Ryan,phillipsandrew@gmail.com,2023-04-20
40,Robert,Henderson,ethan66@hotmail.com,2022-12-12
41,Paul,Dominguez,lisafrank@yahoo.com,2024-06-22
42,Amanda,Martin,sandra85@hotmail.com,2025-06-20
43,Denise,Nguyen,charles47@chaney-young.com,2023-09-20
44,Crystal,Travis,richardchapman@hayden.com,2023-04-03
45,Annette,Moss,uortiz@williams.com,2023-12-18
46,Deborah,Mata,amandacook@rodriguez.biz,2025-02-02
47,Randall,Cochran,stonejoanna@davis-morales.org,2022-10-26
48,Kenneth,Miller,shull@yahoo.com,2025-05-28
49,Christopher,Jones,mwalker@yahoo.com,2023-03-31
50,Melissa,Wilson,jeffreywang@yahoo.com,2024-06-22
51,Pamela,Mitchell,whitexavier@hart-beck.com,2022-12-26
52,Diana,Scott,april93@gomez-castro.info,2024-02-06
53,Antonio,Singh,asantos@stevens.biz,2024-03-22
54,Eric,Wallace,alexisbrown@hotmail.com,2023-05-18
55,David,Jones,samanthacooper@rivera.com,2023-03-02
56,Colleen,Delgado,simpsonchad@hotmail.com,2025-05-06
57,Sierra,Park,bmacias@yahoo.com,2024-12-03
58,Jessica,Graves,hgarrison@acosta-durham.com,2024-12-23
59,Tammie,Curtis,,2022-10-07
60,Katrina,Andrews,kelly97@gmail.com,2024-11-21
61,Erin,Reyes,traviscruz@yahoo.com,2023-04-24
62,Ryan,Valdez,davidperkins@hotmail.com,2024-02-23
63,Jonathon,Andrews,james39@vasquez.com,2022-09-16
64,Jxson,Smith,hmoss@yahoo.com,2022-12-09
65,Kristina,Bush,dwagner@gmail.com,2024-10-01
66,Travis,Steele,willie73@yahoo.com,2023-04-15
67,Eric,Green,kristen11@potts.net,2022-11-08
68,Alyssa,Dennis,courtney68@yahoo.com,2024-09-25
69,Susan,Edwards,xlynch@gmail.com,2025-05-30
70,Michelle,Jenkins,rebeccacarter@nelson-solomon.info,2023-12-09
71,Victoria,Black,eanderson@wise.com,2025-01-31
72,Carol,Anderson,xadams@travis-atkins.com,2022-12-11
73,Stephanie,Gray,stewartbryan@gmail.com,2024-12-15
74,Robert,Fox,valenciakelly@yahoo.com,2024-04-16
75,David,Hensley,aharrison@yahoo.com,2025-03-15
76,Jessica,Paul,laura86@gmail.com,2024-11-19
